,tweet_id,created_at,user_id,retweeted_status_id,retweeted_user_id,credibility_score
507,1340666245079830528,2020-12-20 14:31:55+00:00,1041576372743925760,1340431846392344577,975616683611181057,62.0
510,1340668419910320132,2020-12-20 14:40:34+00:00,1086702385,1340648596262281217,776465110856589312,95.0
515,1340669190664036357,2020-12-20 14:43:38+00:00,793367160341094400,1340642260300513281,53672896,100.0
516,1340669255025643523,2020-12-20 14:43:53+00:00,116517401,1340658119551139843,1095693509179424769,80.0
519,1340669386848428032,2020-12-20 14:44:24+00:00,386215801,1340669291696427008,331617619,82.5
520,1340669995819405316,2020-12-20 14:46:50+00:00,1092914412594311169,1340669291696427008,331617619,82.5
523,1340670382173544449,2020-12-20 14:48:22+00:00,1298769749497831426,1340670077927116800,1032615842,20.0
527,1340670823095537666,2020-12-20 14:50:07+00:00,881039666035675137,1340670077927116800,1032615842,20.0
529,1340671849026506753,2020-12-20 14:54:11+00:00,1084450777748459520,1340669291696427008,331617619,82.5
531,1340672059668652044,2020-12-20 14:55:02+00:00,1249068072360697862,1340664334616244231,317742806,70.0
533,1340672098147184643,2020-12-20 14:55:11+00:00,1125440833099112448,1340600922553106432,1322629376421355521,5.0
537,1340672609042743303,2020-12-20 14:57:13+00:00,209249028,1340670077927116800,1032615842,20.0
538,1340672668677398528,2020-12-20 14:57:27+00:00,1237988724958519298,1340600922553106432,1322629376421355521,5.0
541,1340672859505643520,2020-12-20 14:58:12+00:00,487711174,1340644839382200320,1080833408899706880,95.0
547,1340673806130700289,2020-12-20 15:01:58+00:00,1534748126,1340670077927116800,1032615842,20.0
548,1340674086213697538,2020-12-20 15:03:05+00:00,439504854,1340669279541358592,331617619,82.5
550,1340674730425282560,2020-12-20 15:05:38+00:00,864477312720437249,1340670077927116800,1032615842,20.0
553,1340675594728648709,2020-12-20 15:09:04+00:00,1125440833099112448,1340606307125121024,78567974,82.5
555,1340676095289352192,2020-12-20 15:11:04+00:00,1125440833099112448,1330823107666472966,363251033,75.0
556,1340676191813066754,2020-12-20 15:11:27+00:00,2876249524,1340675164653166596,771779280,64.5
557,1340676444637294593,2020-12-20 15:12:27+00:00,986564732,1340674711328419840,18935802,95.0
